user_id,signup_date,emirate,user_type
112,2024-10-24,Abu Dhabi,seller
113,2024-08-28,Dubai,seller
114,2025-02-26,Abu Dhabi,agent
115,2025-04-15,Dubai,agent
116,2025-05-13,Dubai,buyer
117,2024-10-23,Abu Dhabi,seller
118,2024-07-15,Dubai,buyer
119,2024-01-27,Ras Al Khaimah,buyer
120,2024-06-10,Abu Dhabi,seller
121,2024-04-21,Abu Dhabi,seller
122,2025-07-30,Abu Dhabi,agent
123,2024-01-28,Dubai,seller
124,2024-12-23,Dubai,buyer
125,2025-06-20,Sharjah,buyer
126,2024-07-20,Dubai,seller
127,2025-08-22,Dubai,buyer
128,2025-02-03,Umm Al Quwain,agent
129,2024-01-19,Dubai,buyer
130,2024-12-20,Dubai,agent
131,2025-06-03,Ras Al Khaimah,agent
132,2024-10-21,Dubai,buyer
133,2024-12-06,Ajman,seller
134,2024-05-28,Abu Dhabi,agent
135,2025-03-23,Sharjah,buyer
136,2025-01-26,Ajman,buyer
137,2024-05-27,Sharjah,agent
138,2024-04-15,Dubai,buyer
139,2025-12-05,Dubai,seller
140,2024-08-26,Dubai,seller
141,2025-05-15,Sharjah,buyer
142,2024-09-16,Abu Dhabi,buyer
143,2024-10-14,Abu Dhabi,agent
144,2024-08-14,Ajman,buyer
145,2024-10-20,Abu Dhabi,buyer
146,2025-05-20,Dubai,seller
147,2024-11-02,Abu Dhabi,buyer
148,2025-07-05,Sharjah,seller
149,2025-12-12,Abu Dhabi,buyer
150,2024-06-12,Dubai,agent
151,2025-04-16,Fujairah,seller
152,2024-05-19,Ajman,seller
153,2024-09-13,Dubai,buyer
154,2024-09-23,Dubai,agent
155,2024-03-20,Sharjah,agent
156,2025-12-14,Ras Al Khaimah,buyer
157,2024-01-14,Dubai,buyer
158,2025-07-16,Sharjah,agent
159,2025-04-16,Abu Dhabi,seller
160,2024-06-29,Dubai,agent
161,2024-01-23,Ras Al Khaimah,agent
162,2025-10-27,Ajman,agent
163,2025-12-16,Dubai,seller
164,2024-10-05,Dubai,agent
165,2024-09-15,Ajman,agent
166,2025-08-30,Ajman,buyer
167,2024-06-20,Sharjah,buyer
168,2025-08-28,Ras Al Khaimah,agent
169,2025-06-02,Dubai,agent
170,2025-05-20,Abu Dhabi,buyer
171,2024-11-21,Sharjah,buyer
172,2025-06-06,Dubai,buyer
173,2025-08-23,Dubai,agent
174,2025-05-05,Umm Al Quwain,buyer
175,2024-03-14,Abu Dhabi,buyer
176,2025-08-31,Umm Al Quwain,seller
177,2024-01-14,Fujairah,buyer
178,2025-01-15,Umm Al Quwain,buyer
179,2024-06-19,Umm Al Quwain,buyer
180,2025-10-30,Dubai,buyer
181,2024-11-28,Sharjah,buyer
182,2024-05-24,Abu Dhabi,seller
183,2025-11-01,Dubai,seller
184,2025-07-29,Dubai,seller
185,2024-06-30,Dubai,agent
186,2025-08-21,Abu Dhabi,seller
187,2025-07-07,Sharjah,seller
188,2025-10-25,Dubai,buyer
189,2025-09-15,Sharjah,buyer
190,2024-11-01,Dubai,agent
191,2024-04-05,Sharjah,buyer
192,2025-10-07,Dubai,buyer
193,2025-06-27,Abu Dhabi,buyer
194,2025-08-12,Dubai,buyer
195,2025-08-06,Fujairah,seller
196,2025-01-13,Fujairah,seller
197,2024-12-21,Dubai,seller
198,2025-02-19,Dubai,buyer
199,2025-07-02,Abu Dhabi,seller
200,2024-10-17,Sharjah,buyer
201,2024-11-02,Abu Dhabi,buyer
202,2024-01-06,Abu Dhabi,agent
203,2024-12-13,Sharjah,buyer
204,2025-10-01,Dubai,seller
205,2024-06-17,Abu Dhabi,buyer
206,2024-05-04,Ajman,seller
207,2024-02-01,Sharjah,buyer
208,2025-11-03,Dubai,buyer
209,2024-01-07,Dubai,buyer
210,2025-07-05,Ajman,buyer
211,2025-07-18,Abu Dhabi,seller
212,2024-08-11,Dubai,seller
213,2024-01-21,Abu Dhabi,buyer
214,2025-05-24,Sharjah,buyer
215,2024-10-28,Sharjah,seller
216,2024-11-17,Dubai,buyer
217,2024-08-10,Dubai,agent
218,2024-10-28,Abu Dhabi,buyer
219,2024-06-28,Dubai,agent
220,2024-09-13,Abu Dhabi,agent
221,2024-11-30,Sharjah,agent
222,2025-08-13,Abu Dhabi,agent
223,2025-06-13,Ras Al Khaimah,seller
224,2025-09-19,Sharjah,seller
225,2024-06-15,Ajman,seller
226,2025-09-08,Ras Al Khaimah,seller
227,2024-06-27,Abu Dhabi,buyer
228,2024-06-28,Dubai,seller
229,2024-04-01,Sharjah,seller
230,2025-08-12,Abu Dhabi,buyer
231,2024-10-08,Dubai,buyer
232,2025-09-02,Dubai,buyer
233,2024-05-23,Abu Dhabi,buyer
234,2024-04-21,Dubai,seller
235,2024-12-20,Sharjah,buyer
236,2024-05-17,Abu Dhabi,seller
237,2024-04-27,Abu Dhabi,buyer
238,2024-06-03,Abu Dhabi,agent
239,2025-04-18,Abu Dhabi,seller
240,2025-01-30,Ras Al Khaimah,seller
241,2025-01-27,Dubai,buyer
242,2024-07-15,Dubai,seller
243,2024-05-29,Ras Al Khaimah,agent
244,2024-12-29,Abu Dhabi,seller
245,2024-02-24,Abu Dhabi,seller
246,2025-03-04,Dubai,buyer
247,2025-12-12,Abu Dhabi,buyer
248,2024-03-09,Dubai,seller
249,2025-01-16,Abu Dhabi,buyer
250,2025-05-13,Abu Dhabi,buyer
251,2024-05-02,Abu Dhabi,buyer
252,2025-07-29,Dubai,seller
253,2024-12-05,Dubai,seller
254,2025-01-30,Dubai,buyer
255,2024-09-26,Dubai,buyer
256,2025-09-08,Dubai,buyer
257,2025-02-28,Sharjah,buyer
258,2025-12-08,Sharjah,agent
259,2024-11-22,Dubai,buyer
260,2025-01-15,Dubai,seller
261,2024-04-26,Umm Al Quwain,buyer
262,2025-04-05,Sharjah,seller
263,2024-08-31,Sharjah,seller
264,2024-06-12,Fujairah,buyer
265,2024-01-15,Dubai,buyer
266,2025-05-28,Dubai,seller
267,2025-10-25,Abu Dhabi,buyer
268,2024-09-22,Sharjah,seller
269,2024-01-24,Dubai,seller
270,2025-12-08,Sharjah,buyer
271,2024-12-30,Ajman,agent
272,2025-11-28,Dubai,buyer
273,2024-12-28,Dubai,seller
274,2024-12-01,Umm Al Quwain,buyer
275,2025-09-06,Sharjah,buyer
276,2024-05-01,Sharjah,seller
277,2024-07-01,Dubai,seller
278,2025-04-23,Ras Al Khaimah,seller
279,2025-09-20,Dubai,agent
280,2024-02-08,Sharjah,buyer
281,2025-09-01,Abu Dhabi,buyer
282,2025-08-01,Abu Dhabi,buyer
283,2025-07-19,Ajman,agent
284,2025-04-23,Dubai,agent
285,2025-10-22,Abu Dhabi,agent
286,2024-01-24,Sharjah,buyer
287,2025-10-03,Sharjah,agent
288,2024-11-23,Dubai,agent
289,2025-05-28,Abu Dhabi,buyer
290,2025-09-04,Abu Dhabi,seller
291,2024-04-29,Dubai,agent
292,2025-09-24,Ajman,buyer
293,2025-08-10,Ras Al Khaimah,buyer
294,2024-08-20,Abu Dhabi,seller
295,2025-10-10,Dubai,buyer
296,2024-03-30,Ras Al Khaimah,buyer
297,2025-01-25,Dubai,seller
298,2025-09-24,Dubai,agent
299,2025-02-02,Sharjah,buyer
300,2024-05-23,Dubai,agent
301,2024-08-20,Dubai,seller
302,2024-08-21,Abu Dhabi,seller
303,2025-02-10,Sharjah,seller
304,2025-12-31,Abu Dhabi,seller
305,2024-04-08,Dubai,buyer
306,2024-08-08,Sharjah,buyer
307,2024-11-21,Abu Dhabi,buyer
308,2025-11-20,Abu Dhabi,buyer
309,2024-10-08,Sharjah,buyer
310,2025-08-18,Sharjah,buyer
311,2025-05-25,Dubai,buyer
312,2024-11-03,Dubai,buyer
313,2024-12-05,Abu Dhabi,seller
314,2025-05-05,Dubai,buyer
315,2024-06-18,Abu Dhabi,seller
316,2025-09-07,Umm Al Quwain,seller
317,2025-12-14,Dubai,buyer
318,2025-10-17,Dubai,buyer
319,2024-09-25,Dubai,buyer
320,2025-11-21,Abu Dhabi,buyer
321,2025-06-25,Umm Al Quwain,seller
322,2024-02-05,Sharjah,buyer
323,2025-03-07,Ras Al Khaimah,buyer
324,2025-12-05,Ras Al Khaimah,seller
325,2024-12-10,Abu Dhabi,buyer
326,2024-08-13,Dubai,buyer
327,2024-08-31,Fujairah,buyer
328,2024-04-07,Ajman,buyer
329,2024-02-23,Dubai,seller
330,2024-10-22,Dubai,buyer
331,2024-09-04,Abu Dhabi,buyer
332,2024-08-07,Umm Al Quwain,buyer
333,2024-03-26,Sharjah,seller
334,2025-01-02,Sharjah,buyer
335,2024-02-15,Abu Dhabi,buyer
336,2025-08-06,Abu Dhabi,agent
337,2025-11-04,Umm Al Quwain,buyer
338,2025-06-16,Abu Dhabi,seller
339,2024-08-04,Sharjah,agent
340,2025-09-03,Dubai,buyer
341,2024-12-21,Sharjah,buyer
342,2025-12-09,Dubai,buyer
343,2024-11-11,Dubai,buyer
344,2025-08-15,Abu Dhabi,buyer
345,2025-07-18,Dubai,seller
346,2024-12-26,Sharjah,buyer
347,2024-03-31,Sharjah,agent
348,2024-03-08,Sharjah,seller
349,2025-09-24,Sharjah,agent
350,2024-11-18,Abu Dhabi,seller
351,2025-11-28,Abu Dhabi,agent
352,2025-12-06,Ajman,buyer
353,2025-03-01,Dubai,buyer
354,2025-05-26,Sharjah,seller
355,2024-08-10,Dubai,buyer
356,2024-06-13,Sharjah,seller
357,2024-01-29,Fujairah,seller
358,2024-02-25,Abu Dhabi,buyer
359,2025-05-23,Dubai,buyer
360,2024-03-01,Dubai,buyer
361,2025-05-12,Dubai,agent
362,2024-07-27,Ajman,seller
363,2025-08-16,Umm Al Quwain,agent
364,2025-10-21,Sharjah,buyer
365,2025-02-05,Dubai,seller
366,2025-08-22,Abu Dhabi,seller
367,2025-08-04,Fujairah,buyer
368,2025-03-15,Abu Dhabi,seller
369,2025-03-15,Abu Dhabi,buyer
370,2024-01-23,Dubai,buyer
371,2025-08-02,Sharjah,agent
372,2024-02-29,Dubai,seller
373,2025-06-26,Dubai,agent
374,2025-05-06,Ajman,seller
375,2025-01-11,Abu Dhabi,buyer
376,2025-05-22,Dubai,agent
377,2025-10-09,Abu Dhabi,seller
378,2024-12-03,Umm Al Quwain,seller
379,2025-04-12,Abu Dhabi,buyer
380,2024-01-04,Dubai,buyer
381,2024-12-27,Sharjah,seller
382,2024-05-29,Sharjah,buyer
383,2024-07-22,Abu Dhabi,agent
384,2025-12-04,Abu Dhabi,seller
385,2024-12-29,Dubai,agent
386,2025-07-19,Abu Dhabi,buyer
387,2024-10-08,Dubai,seller
388,2025-06-17,Abu Dhabi,buyer
389,2025-07-27,Umm Al Quwain,agent
390,2025-01-04,Abu Dhabi,buyer
391,2025-05-08,Ajman,buyer
392,2024-09-08,Sharjah,seller
393,2024-08-13,Dubai,agent
394,2024-01-20,Umm Al Quwain,buyer
395,2024-03-24,Abu Dhabi,buyer
396,2024-05-11,Fujairah,seller
397,2025-03-16,Ras Al Khaimah,agent
398,2025-04-28,Dubai,seller
399,2024-04-12,Abu Dhabi,agent
400,2024-04-26,Abu Dhabi,agent
401,2025-11-16,Dubai,buyer
402,2025-04-18,Abu Dhabi,agent
403,2024-04-02,Abu Dhabi,buyer
404,2025-08-18,Abu Dhabi,buyer
405,2025-10-26,Abu Dhabi,seller
406,2024-11-26,Abu Dhabi,buyer
407,2024-10-13,Dubai,seller
408,2024-11-05,Abu Dhabi,buyer
409,2025-11-14,Sharjah,buyer
410,2024-02-05,Sharjah,seller
411,2025-12-24,Ajman,buyer
412,2024-05-05,Sharjah,agent
413,2025-09-02,Umm Al Quwain,buyer
414,2024-07-06,Dubai,seller
415,2025-05-05,Abu Dhabi,agent
416,2024-12-10,Ras Al Khaimah,buyer
417,2025-03-14,Abu Dhabi,buyer
418,2024-12-10,Sharjah,buyer
419,2024-06-14,Sharjah,buyer
420,2024-01-24,Abu Dhabi,agent
421,2025-02-01,Dubai,seller
422,2025-02-03,Abu Dhabi,agent
423,2025-05-30,Ras Al Khaimah,agent
424,2024-11-13,Dubai,buyer
425,2024-08-16,Sharjah,seller
426,2024-04-16,Ras Al Khaimah,buyer
427,2025-02-04,Dubai,seller
428,2025-11-09,Fujairah,agent
429,2024-08-19,Sharjah,buyer
430,2025-12-17,Dubai,seller
431,2025-06-25,Ras Al Khaimah,buyer
432,2025-02-17,Sharjah,agent
433,2024-09-15,Dubai,seller
434,2024-11-26,Dubai,buyer
435,2024-03-13,Dubai,seller
436,2025-08-25,Abu Dhabi,seller
437,2024-07-27,Dubai,buyer
438,2025-08-19,Ras Al Khaimah,seller
439,2024-10-10,Dubai,agent
440,2025-02-21,Dubai,buyer
441,2024-01-12,Dubai,buyer
442,2025-11-04,Dubai,agent
443,2025-08-07,Fujairah,seller
444,2024-06-17,Dubai,buyer
445,2025-10-20,Dubai,seller
446,2024-07-14,Abu Dhabi,buyer
447,2025-03-31,Dubai,agent
448,2025-03-26,Dubai,buyer
449,2024-07-18,Abu Dhabi,buyer
450,2025-08-31,Abu Dhabi,seller
451,2025-08-18,Umm Al Quwain,buyer
452,2024-10-04,Umm Al Quwain,seller
453,2024-04-29,Dubai,seller
454,2024-09-17,Sharjah,seller
455,2025-06-13,Dubai,seller
456,2024-07-08,Abu Dhabi,agent
457,2024-12-18,Dubai,seller
458,2024-11-23,Abu Dhabi,buyer
459,2024-08-19,Abu Dhabi,seller
460,2024-05-10,Sharjah,seller
461,2025-02-17,Sharjah,agent
462,2025-02-12,Abu Dhabi,agent
463,2025-05-02,Abu Dhabi,buyer
464,2024-08-12,Abu Dhabi,seller
465,2025-12-11,Sharjah,buyer
466,2025-09-15,Dubai,seller
467,2025-02-22,Dubai,buyer
468,2025-10-31,Abu Dhabi,agent
469,2024-02-05,Abu Dhabi,agent
470,2025-03-05,Ajman,buyer
471,2024-12-18,Ajman,buyer
472,2025-02-15,Ajman,seller
473,2025-06-17,Dubai,buyer
474,2025-06-09,Umm Al Quwain,buyer
475,2025-12-15,Umm Al Quwain,agent
476,2025-03-13,Sharjah,agent
477,2025-07-27,Umm Al Quwain,agent
478,2025-07-21,Dubai,seller
479,2024-02-17,Dubai,seller
480,2025-09-24,Abu Dhabi,seller
481,2025-03-24,Sharjah,seller
482,2025-03-24,Ajman,agent
483,2024-11-02,Dubai,buyer
484,2025-09-08,Dubai,agent
485,2024-05-07,Abu Dhabi,agent
486,2025-07-23,Dubai,buyer
487,2024-10-15,Ajman,agent
488,2024-02-26,Dubai,buyer
489,2024-01-05,Dubai,agent
490,2024-04-16,Dubai,buyer
491,2025-10-08,Dubai,agent
492,2024-12-17,Dubai,buyer
493,2024-07-17,Sharjah,seller
494,2024-02-14,Fujairah,buyer
495,2025-04-11,Sharjah,buyer
496,2024-08-18,Abu Dhabi,buyer
497,2025-05-12,Abu Dhabi,buyer
498,2025-06-18,Umm Al Quwain,buyer
499,2024-10-10,Dubai,buyer
500,2024-05-01,Umm Al Quwain,agent
501,2025-04-16,Dubai,seller
502,2025-11-15,Abu Dhabi,agent
503,2025-09-14,Dubai,buyer
504,2025-07-05,Dubai,buyer
505,2024-09-21,Ajman,buyer
506,2024-06-08,Sharjah,seller
507,2024-08-04,Abu Dhabi,buyer
508,2025-07-22,Sharjah,buyer
509,2025-07-07,Dubai,seller
510,2024-09-03,Dubai,seller
511,2025-09-02,Dubai,buyer
512,2025-03-04,Ras Al Khaimah,buyer
513,2025-09-23,Dubai,agent
514,2025-09-14,Dubai,agent
515,2025-08-17,Dubai,buyer
516,2024-04-24,Dubai,buyer
517,2024-04-29,Sharjah,buyer
518,2024-12-17,Dubai,seller
519,2025-12-13,Dubai,buyer
520,2025-03-07,Dubai,buyer
521,2024-04-11,Sharjah,seller
522,2025-05-18,Sharjah,buyer
523,2025-12-02,Sharjah,seller
524,2024-06-15,Dubai,seller
525,2025-05-07,Fujairah,buyer
526,2025-05-02,Sharjah,agent
527,2025-01-28,Abu Dhabi,buyer
528,2025-03-20,Umm Al Quwain,buyer
529,2024-11-06,Abu Dhabi,buyer
530,2024-04-02,Sharjah,buyer
531,2025-11-29,Fujairah,buyer
532,2025-07-20,Dubai,seller
533,2025-01-13,Dubai,buyer
534,2024-06-30,Abu Dhabi,seller
535,2025-08-10,Dubai,agent
536,2025-07-17,Abu Dhabi,buyer
537,2025-10-28,Abu Dhabi,buyer
538,2024-02-16,Sharjah,agent
539,2024-11-24,Sharjah,seller
540,2024-03-27,Sharjah,buyer
541,2024-08-10,Abu Dhabi,buyer
542,2024-06-26,Dubai,buyer
543,2025-03-06,Abu Dhabi,buyer
544,2025-11-28,Abu Dhabi,seller
545,2025-09-08,Dubai,buyer
546,2025-04-05,Fujairah,buyer
547,2025-03-20,Ajman,buyer
548,2024-04-12,Dubai,seller
549,2025-11-19,Ajman,seller
550,2024-01-28,Abu Dhabi,seller
551,2024-12-27,Dubai,buyer
552,2024-10-29,Dubai,seller
553,2024-10-12,Sharjah,agent
554,2024-12-22,Sharjah,agent
555,2024-05-22,Abu Dhabi,buyer
556,2024-06-21,Abu Dhabi,buyer
557,2024-08-03,Sharjah,buyer
558,2024-07-27,Dubai,agent
559,2025-03-13,Dubai,seller
560,2024-07-04,Abu Dhabi,agent
561,2024-11-25,Ajman,agent
562,2025-07-07,Ajman,seller
563,2025-01-17,Abu Dhabi,buyer
564,2024-10-26,Fujairah,agent
565,2024-02-17,Dubai,buyer
566,2025-09-09,Sharjah,buyer
567,2024-09-15,Dubai,buyer
568,2024-09-15,Ras Al Khaimah,seller
569,2025-12-29,Abu Dhabi,buyer
570,2025-10-09,Abu Dhabi,buyer
571,2025-02-03,Sharjah,buyer
572,2024-01-04,Abu Dhabi,buyer
573,2024-04-10,Dubai,seller
574,2025-07-18,Sharjah,seller
575,2025-10-04,Dubai,buyer
576,2024-07-17,Dubai,seller
577,2024-09-03,Sharjah,buyer
578,2025-10-12,Sharjah,buyer
579,2024-04-12,Abu Dhabi,buyer
580,2025-09-17,Sharjah,buyer
581,2024-01-17,Abu Dhabi,buyer
582,2024-09-03,Sharjah,buyer
583,2024-06-08,Sharjah,buyer
584,2024-06-24,Dubai,seller
585,2025-10-09,Dubai,buyer
586,2025-04-08,Dubai,buyer
587,2025-11-30,Dubai,buyer
588,2024-05-10,Dubai,seller
589,2024-06-09,Dubai,buyer
590,2024-12-29,Sharjah,seller
591,2024-06-26,Ajman,agent
592,2024-06-06,Dubai,agent
593,2024-05-23,Dubai,buyer
594,2025-04-23,Fujairah,agent
595,2024-05-28,Abu Dhabi,seller
596,2025-05-03,Sharjah,buyer
597,2025-12-29,Dubai,buyer
598,2024-07-02,Dubai,agent
599,2024-11-28,Abu Dhabi,agent
600,2025-10-22,Fujairah,buyer
601,2025-01-24,Ajman,buyer
602,2025-04-23,Abu Dhabi,seller
603,2024-02-02,Dubai,buyer
604,2024-08-29,Dubai,buyer
605,2025-09-28,Dubai,seller
606,2025-07-13,Dubai,seller
607,2024-05-15,Fujairah,buyer
608,2025-03-07,Sharjah,agent
609,2025-11-27,Ajman,buyer
610,2024-09-27,Dubai,buyer
611,2024-03-13,Abu Dhabi,seller
612,2025-07-09,Sharjah,buyer
613,2025-12-20,Sharjah,buyer
614,2025-07-11,Sharjah,seller
615,2025-05-30,Abu Dhabi,agent
616,2024-09-26,Abu Dhabi,seller
617,2024-03-15,Abu Dhabi,agent
618,2024-12-30,Abu Dhabi,buyer
619,2024-04-05,Dubai,buyer
620,2024-05-18,Dubai,buyer
621,2025-10-13,Dubai,seller
622,2024-11-05,Dubai,buyer
623,2024-01-09,Dubai,agent
624,2025-09-30,Dubai,agent
625,2024-08-20,Ras Al Khaimah,seller
626,2025-09-06,Abu Dhabi,buyer
627,2024-05-01,Abu Dhabi,seller
628,2024-02-18,Ras Al Khaimah,buyer
629,2025-06-26,Ajman,seller
630,2025-12-21,Dubai,buyer
631,2025-01-23,Dubai,buyer
632,2024-07-13,Dubai,agent
633,2025-09-09,Dubai,seller
634,2025-03-20,Abu Dhabi,buyer
635,2025-07-20,Dubai,buyer
636,2025-02-07,Abu Dhabi,seller
637,2024-09-06,Dubai,buyer
638,2024-05-08,Dubai,buyer
639,2024-10-14,Dubai,seller
640,2025-01-30,Sharjah,seller
641,2024-11-04,Dubai,buyer
642,2024-12-30,Sharjah,buyer
643,2025-12-10,Sharjah,seller
644,2025-03-02,Fujairah,agent
645,2024-06-22,Dubai,seller
646,2024-08-04,Dubai,buyer
647,2025-06-26,Umm Al Quwain,seller
648,2024-03-14,Dubai,seller
649,2024-01-09,Fujairah,buyer
650,2025-07-25,Dubai,seller
651,2025-01-31,Ajman,seller
652,2024-02-22,Ajman,seller
653,2024-09-11,Sharjah,seller
654,2025-05-12,Abu Dhabi,buyer
655,2025-01-29,Dubai,buyer
656,2025-12-14,Dubai,buyer
657,2025-12-13,Fujairah,buyer
658,2024-01-13,Dubai,buyer
659,2024-03-01,Dubai,agent
660,2025-09-14,Dubai,seller
661,2024-05-15,Ajman,agent
662,2024-04-13,Dubai,buyer
663,2024-09-20,Sharjah,buyer
664,2025-01-09,Dubai,buyer
665,2025-02-11,Ajman,seller
666,2025-04-13,Ajman,buyer
667,2024-08-18,Abu Dhabi,buyer
668,2025-08-21,Sharjah,buyer
669,2025-04-23,Abu Dhabi,buyer
670,2025-09-02,Sharjah,buyer
671,2024-08-21,Abu Dhabi,buyer
672,2025-06-12,Ajman,buyer
673,2024-05-16,Ajman,buyer
674,2024-04-30,Fujairah,agent
675,2024-08-13,Abu Dhabi,buyer
676,2025-10-16,Dubai,seller
677,2025-03-07,Umm Al Quwain,agent
678,2024-08-09,Ajman,buyer
679,2024-11-29,Dubai,seller
680,2024-08-23,Ras Al Khaimah,seller
681,2025-07-23,Dubai,agent
682,2024-06-17,Ras Al Khaimah,buyer
683,2025-01-27,Sharjah,buyer
684,2025-06-27,Fujairah,buyer
685,2025-12-08,Abu Dhabi,agent
686,2024-11-04,Dubai,buyer
687,2024-10-19,Dubai,buyer
688,2024-12-14,Dubai,seller
689,2024-01-23,Dubai,agent
690,2024-02-12,Dubai,buyer
691,2025-12-09,Fujairah,agent
692,2025-02-15,Abu Dhabi,seller
693,2024-02-18,Dubai,buyer
694,2025-08-19,Ajman,seller
695,2025-06-13,Dubai,seller
696,2025-05-30,Abu Dhabi,buyer
697,2025-09-08,Dubai,buyer
698,2024-10-10,Ajman,seller
699,2024-12-07,Sharjah,seller
700,2025-01-30,Dubai,buyer
701,2024-06-19,Dubai,buyer
702,2024-10-22,Abu Dhabi,seller
703,2024-08-03,Abu Dhabi,buyer
704,2024-01-18,Fujairah,seller
705,2024-04-01,Dubai,seller
706,2025-12-05,Dubai,buyer
707,2024-10-25,Abu Dhabi,seller
708,2024-12-24,Dubai,buyer
709,2024-04-08,Sharjah,buyer
710,2025-07-30,Umm Al Quwain,buyer
711,2025-11-02,Abu Dhabi,seller
712,2024-08-08,Umm Al Quwain,seller
713,2024-11-21,Dubai,buyer
714,2025-11-27,Abu Dhabi,agent
715,2025-09-17,Dubai,buyer
716,2024-10-15,Sharjah,buyer
717,2025-03-17,Sharjah,seller
718,2025-03-20,Sharjah,seller
719,2024-11-10,Dubai,buyer
720,2025-08-29,Abu Dhabi,agent
721,2025-07-30,Dubai,seller
722,2024-02-15,Abu Dhabi,seller
723,2025-02-22,Abu Dhabi,agent
724,2025-10-19,Dubai,seller
725,2025-06-14,Abu Dhabi,buyer
726,2024-10-02,Dubai,buyer
